ts_code,name,trade_date,open,high,low,close,pre_close,change,pct_chg,amount,is_ST,label_max,label_min,label_final,is_limit_up
000002.SZ,万科A,20191016,26.97,27.73,26.91,27.07,26.77,0.3000000000000007,1.1207,2738841.249,0,0.02548947173993355,-0.014776505356483139,0,False
000005.SZ,世纪星源,20190708,3.34,3.35,3.1,3.12,3.34,-0.2199999999999997,-6.5868,115176.815,0,0.006410256410256416,-0.057692307692307744,0,False
000005.SZ,世纪星源,20190814,2.79,2.81,2.75,2.76,2.77,-0.0100000000000002,-0.361,12018.454,0,0.15942028985507262,-0.02898550724637668,1,False
000005.SZ,世纪星源,20190902,3.05,3.17,3.05,3.16,3.1,0.06,1.9355,37623.978,0,0.30379746835443033,0.0,1,False
000005.SZ,世纪星源,20190906,3.58,3.73,3.54,3.56,3.69,-0.1299999999999999,-3.523,257487.057,0,0.011235955056179785,-0.04213483146067413,0,False
000008.SZ,神州高铁,20190904,3.58,3.66,3.57,3.64,3.57,0.0700000000000002,1.9608,87314.091,0,0.024725274725274686,-0.010989010989010999,0,False
000008.SZ,神州高铁,20190906,3.64,3.67,3.6,3.64,3.64,0.0,0.0,60956.427,0,0.024725274725274686,-0.00824175824175831,0,False
000008.SZ,神州高铁,20190909,3.66,3.68,3.61,3.66,3.64,0.02,0.5495,76339.927,0,0.019125683060109245,-0.024590163934426312,0,False
000008.SZ,神州高铁,20191016,3.6,3.62,3.54,3.56,3.59,-0.0299999999999998,-0.8357,103429.782,0,0.014044943820224668,-0.025280898876404456,0,False
000008.SZ,神州高铁,20191119,3.36,3.49,3.35,3.43,3.33,0.1,3.003,75367.072,0,0.029154518950437212,-0.017492711370262405,0,False
000008.SZ,神州高铁,20191122,3.41,3.46,3.4,3.42,3.39,0.0299999999999998,0.885,64040.562,0,0.03216374269005844,0.005847953216374275,0,False
000008.SZ,神州高铁,20191125,3.44,3.53,3.44,3.5,3.42,0.08,2.3392,82806.798,0,0.011428571428571439,-0.011428571428571439,0,False
000008.SZ,神州高铁,20191204,3.53,3.59,3.51,3.57,3.52,0.0499999999999998,1.4205,80552.974,0,0.09243697478991598,-0.005602240896358549,1,False
000008.SZ,神州高铁,20191205,3.58,3.77,3.55,3.69,3.57,0.1200000000000001,3.3613,205343.4,0,0.05691056910569105,-0.032520325203252064,0,False
000010.SZ,*ST美丽,20190731,3.47,3.68,3.46,3.65,3.5,0.1499999999999999,4.2857,8962.872,1,0.005479452054794526,-0.07671232876712324,0,False
000010.SZ,*ST美丽,20190820,3.24,3.4,3.23,3.35,3.24,0.1099999999999998,3.3951,13891.456,1,0.09850746268656718,0.002985074626865608,1,False
000010.SZ,*ST美丽,20190823,3.5,3.61,3.46,3.6,3.44,0.1600000000000001,4.6512,16173.995,1,0.00555555555555556,-0.06666666666666672,0,False
000010.SZ,*ST美丽,20191018,3.37,3.49,3.37,3.44,3.37,0.0699999999999998,2.0772,7253.53,1,0.07558139534883727,-0.0029069767441859845,1,False
000010.SZ,*ST美丽,20191022,3.49,3.61,3.48,3.52,3.5,0.02,0.5714,11869.057,1,0.05113636363636368,-0.014204545454545404,0,False
000010.SZ,*ST美丽,20191023,3.47,3.7,3.47,3.66,3.52,0.1400000000000001,3.9773,19098.419,1,0.010928961748633888,-0.04098360655737714,0,False
000010.SZ,*ST美丽,20191025,3.6,3.63,3.53,3.55,3.59,-0.04,-1.1142,5515.94,1,0.014084507042253596,-0.011267605633802828,0,False
000010.SZ,*ST美丽,20191206,3.57,3.6,3.38,3.44,3.49,-0.0500000000000002,-1.4327,10428.934,1,-0.008720930232558082,-0.04360465116279067,0,False
000010.SZ,*ST美丽,20191217,3.36,3.45,3.34,3.43,3.37,0.06,1.7804,6690.129,1,0.014577259475218606,-0.02915451895043734,0,False
000012.SZ,南玻A,20190821,4.14,4.23,4.1,4.21,4.12,0.0899999999999998,2.1845,80307.844,0,0.040380047505938224,-0.026128266033254233,0,False
000012.SZ,南玻A,20190822,4.24,4.27,4.16,4.26,4.21,0.0499999999999998,1.1876,76783.213,0,0.028169014084507067,-0.037558685446009425,0,False
