trade_date,ts_code,up_limit,down_limit
20120104,000009.SZ,11.99,9.81
20120105,000009.SZ,11.11,9.09
20120106,000009.SZ,10.49,8.59
20120109,000009.SZ,11.12,9.1
20120110,000009.SZ,12.23,10.01
20120111,000009.SZ,12.75,10.43
20120112,000009.SZ,14.03,11.48
20120113,000009.SZ,13.88,11.36
20120116,000009.SZ,13.93,11.39
20120117,000009.SZ,12.82,10.49
20120118,000009.SZ,14.1,11.54
20120119,000009.SZ,14.25,11.66
20120120,000009.SZ,14.31,11.71
20120130,000009.SZ,14.1,11.54
20120131,000009.SZ,13.78,11.28
20120201,000009.SZ,14.19,11.61
20120202,000009.SZ,13.71,11.21
20120203,000009.SZ,14.51,11.87
20120206,000009.SZ,14.5,11.86
20120207,000009.SZ,14.58,11.93
20120208,000009.SZ,14.19,11.61
20120209,000009.SZ,14.74,12.06
20120210,000009.SZ,14.96,12.24
20120213,000009.SZ,14.96,12.24
20120214,000009.SZ,15.16,12.4
20120215,000009.SZ,15.25,12.47
20120216,000009.SZ,15.38,12.58
20120217,000009.SZ,15.65,12.81
20120220,000009.SZ,15.47,12.65
20120221,000009.SZ,15.42,12.62
20120222,000009.SZ,15.35,12.56
20120223,000009.SZ,15.52,12.7
20120224,000009.SZ,15.31,12.53
20120227,000009.SZ,15.46,12.65
20120228,000009.SZ,15.66,12.82
20120229,000009.SZ,14.1,11.54
20120301,000009.SZ,13.54,11.08
20120302,000009.SZ,13.77,11.27
20120305,000009.SZ,14.03,11.48
20120306,000009.SZ,13.82,11.3
20120307,000009.SZ,13.92,11.39
20120308,000009.SZ,13.57,11.11
20120309,000009.SZ,13.86,11.34
20120312,000009.SZ,13.94,11.4
20120313,000009.SZ,14.21,11.63
20120314,000009.SZ,13.96,11.42
20120315,000009.SZ,13.39,10.95
20120316,000009.SZ,12.56,10.28
20120319,000009.SZ,12.89,10.55
20120320,000009.SZ,12.91,10.57
20120321,000009.SZ,12.68,10.38
20120322,000009.SZ,12.87,10.53
20120323,000009.SZ,12.66,10.36
20120326,000009.SZ,12.27,10.04
20120327,000009.SZ,12.08,9.88
20120328,000009.SZ,12.1,9.9
20120329,000009.SZ,11.35,9.29
20120330,000009.SZ,11.3,9.24
20120405,000009.SZ,11.15,9.13
20120406,000009.SZ,11.57,9.47
20120409,000009.SZ,12.44,10.18
20120410,000009.SZ,12.06,9.86
20120411,000009.SZ,12.85,10.51
20120412,000009.SZ,12.75,10.43
20120413,000009.SZ,13.07,10.69
20120416,000009.SZ,13.61,11.13
20120417,000009.SZ,13.12,10.74
20120418,000009.SZ,12.67,10.37
20120419,000009.SZ,13.02,10.66
20120420,000009.SZ,12.79,10.47
20120423,000009.SZ,12.85,10.51
20120424,000009.SZ,12.11,9.91
20120425,000009.SZ,12.24,10.02
20120426,000009.SZ,12.51,10.23
20120427,000009.SZ,12.44,10.18
20120502,000009.SZ,12.23,10.01
20120503,000009.SZ,12.65,10.35
20120504,000009.SZ,12.89,10.55
