ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000016.SH,20120104,1595.12,1628.168,1631.255,1594.421,1617.613,-22.493,-1.3905,12822705.0,11591786.058
000016.SH,20120105,1596.593,1591.237,1622.837,1590.537,1595.12,1.473,0.0923,18078365.0,15109105.146
000016.SH,20120106,1608.358,1595.731,1609.207,1588.598,1596.593,11.765,0.7369,13869973.0,11459377.051
000016.SH,20120109,1659.054,1608.491,1659.582,1598.39,1608.358,50.696,3.152,21627579.0,20009493.676
000016.SH,20120110,1704.744,1658.198,1707.597,1655.304,1659.054,45.69,2.754,28517417.0,26442594.973
000016.SH,20120111,1694.264,1703.654,1709.887,1686.644,1704.744,-10.48,-0.6148,18430906.0,18803937.162
000016.SH,20120112,1701.452,1690.392,1717.802,1688.18,1694.264,7.188,0.4243,17766371.0,17504501.236
000016.SH,20120113,1685.913,1703.386,1710.489,1671.291,1701.452,-15.539,-0.9133,17531050.0,17659844.431
000016.SH,20120116,1661.994,1676.143,1689.839,1661.381,1685.913,-23.919,-1.4188,11617615.0,13034129.807
000016.SH,20120117,1736.606,1664.485,1736.958,1649.039,1661.994,74.612,4.4893,25662975.0,25533354.215
000016.SH,20120118,1714.699,1736.289,1750.109,1709.786,1736.606,-21.907,-1.2615,21955716.0,23648660.321
000016.SH,20120119,1750.521,1717.14,1757.249,1713.95,1714.699,35.822,2.0891,21808599.0,21973502.03
000016.SH,20120120,1775.091,1756.779,1779.0,1748.665,1750.521,24.57,1.4036,22211599.0,22090544.774
000016.SH,20120130,1742.818,1778.135,1778.135,1742.278,1775.091,-32.273,-1.8181,18884774.0,18407464.137
000016.SH,20120131,1744.708,1744.216,1754.766,1734.046,1742.818,1.89,0.1084,13032093.0,13239423.407
000016.SH,20120201,1713.684,1739.638,1751.558,1709.536,1744.708,-31.024,-1.7782,13526270.0,14193726.576
000016.SH,20120202,1761.941,1719.999,1761.941,1714.246,1713.684,48.257,2.816,17495141.0,17836381.969
000016.SH,20120203,1772.192,1756.147,1780.222,1750.365,1761.941,10.251,0.5818,19013624.0,19129273.031
000016.SH,20120206,1764.818,1775.436,1781.888,1753.434,1772.192,-7.374,-0.4161,16663063.0,16256800.163
000016.SH,20120207,1732.024,1753.384,1756.304,1721.852,1764.818,-32.794,-1.8582,14938529.0,14397210.154
000016.SH,20120208,1782.059,1731.99,1786.198,1729.543,1732.024,50.035,2.8888,22114499.0,22752042.078
000016.SH,20120209,1778.097,1781.154,1789.078,1771.086,1782.059,-3.962,-0.2223,19641196.0,21389844.651
000016.SH,20120210,1778.317,1772.188,1800.034,1770.805,1778.097,0.22,0.0124,23482256.0,20972221.791
000016.SH,20120213,1768.539,1757.02,1786.477,1751.066,1778.317,-9.778,-0.5498,17557923.0,16994977.747
000016.SH,20120214,1758.984,1765.87,1767.768,1747.83,1768.539,-9.555,-0.5403,12775513.0,13194356.723
000016.SH,20120215,1773.169,1753.784,1784.237,1751.112,1758.984,14.185,0.8064,18224436.0,19165036.567
000016.SH,20120216,1761.877,1770.399,1776.924,1751.357,1773.169,-11.292,-0.6368,17181728.0,17006014.781
000016.SH,20120217,1765.652,1774.189,1778.627,1756.953,1761.877,3.775,0.2143,12351480.0,12347860.075
000016.SH,20120220,1769.412,1790.39,1792.506,1768.063,1765.652,3.76,0.213,18156015.0,18885764.023
000016.SH,20120221,1779.94,1772.247,1780.559,1756.41,1769.412,10.528,0.595,13532793.0,13834849.72
000016.SH,20120222,1795.26,1781.982,1798.007,1772.428,1779.94,15.32,0.8607,24083520.0,23446652.553
000016.SH,20120223,1799.644,1794.348,1805.671,1791.187,1795.26,4.384,0.2442,23418448.0,23546631.729
000016.SH,20120224,1826.716,1801.39,1827.039,1797.048,1799.644,27.072,1.5043,32001576.0,30445324.144
000016.SH,20120227,1828.408,1833.444,1851.357,1828.038,1826.716,1.692,0.0926,35919727.0,35722943.795
000016.SH,20120228,1839.055,1826.898,1843.958,1826.098,1828.408,10.647,0.5823,25687529.0,25622950.028
000016.SH,20120229,1822.769,1835.773,1841.565,1819.826,1839.055,-16.286,-0.8856,20527453.0,22430984.698
000016.SH,20120301,1818.279,1814.317,1827.66,1813.447,1822.769,-4.49,-0.2463,14237421.0,15160407.068
000016.SH,20120302,1843.848,1821.039,1844.077,1821.039,1818.279,25.569,1.4062,23251539.0,23075601.064
000016.SH,20120305,1827.938,1847.454,1850.252,1826.776,1843.848,-15.91,-0.8629,24262549.0,23886976.539
000016.SH,20120306,1794.264,1822.521,1824.352,1792.783,1827.938,-33.674,-1.8422,23333947.0,24453059.111
000016.SH,20120307,1776.363,1777.843,1793.728,1774.508,1794.264,-17.901,-0.9977,18853132.0,19243354.9
000016.SH,20120308,1798.1,1782.695,1804.909,1782.695,1776.363,21.737,1.2237,19954715.0,21221439.176
000016.SH,20120309,1811.486,1803.912,1811.938,1794.34,1798.1,13.386,0.7445,17309708.0,19867413.784
000016.SH,20120312,1796.937,1810.095,1810.59,1785.97,1811.486,-14.549,-0.8032,20328768.0,22262530.068
000016.SH,20120313,1813.201,1795.679,1814.132,1793.887,1796.937,16.264,0.9051,17035288.0,18221521.46
000016.SH,20120314,1776.407,1823.115,1831.856,1770.505,1813.201,-36.794,-2.0292,38304463.0,37698420.598
000016.SH,20120315,1760.476,1774.556,1783.136,1759.092,1776.407,-15.931,-0.8968,25533675.0,24688224.337
000016.SH,20120316,1780.076,1764.762,1781.209,1754.057,1760.476,19.6,1.1133,19459334.0,21432330.723
000016.SH,20120319,1778.981,1775.961,1781.077,1760.343,1780.076,-1.095,-0.0615,20652596.0,22962341.422
000016.SH,20120320,1755.725,1774.986,1775.94,1754.809,1778.981,-23.256,-1.3073,21832446.0,22307708.382
000016.SH,20120321,1758.624,1765.73,1775.228,1750.081,1755.725,2.899,0.1651,21143536.0,22816802.594
000016.SH,20120322,1760.335,1759.319,1770.415,1749.129,1758.624,1.711,0.0973,16985324.0,17121591.174
000016.SH,20120323,1747.916,1756.194,1760.253,1741.53,1760.335,-12.419,-0.7055,16381248.0,17184111.035
000016.SH,20120326,1749.888,1747.851,1754.803,1741.002,1747.916,1.972,0.1128,11070335.0,12182464.172
000016.SH,20120327,1749.185,1756.995,1760.75,1745.8,1749.888,-0.703,-0.0402,12325533.0,17594311.945
000016.SH,20120328,1708.853,1743.41,1746.404,1706.255,1749.185,-40.332,-2.3058,17266635.0,18809756.635
000016.SH,20120329,1688.09,1702.058,1709.712,1681.971,1708.853,-20.763,-1.215,17979978.0,18415493.493
000016.SH,20120330,1705.633,1693.648,1706.008,1690.267,1688.09,17.543,1.0392,15207403.0,15584062.311
000016.SH,20120405,1735.283,1698.744,1739.444,1691.478,1705.633,29.65,1.7384,22842757.0,24781025.714
000016.SH,20120406,1737.512,1732.512,1739.888,1726.501,1735.283,2.229,0.1285,15962621.0,18220080.851
000016.SH,20120409,1721.426,1730.45,1735.057,1719.458,1737.512,-16.086,-0.9258,10819416.0,12152773.722
000016.SH,20120410,1736.24,1719.577,1737.241,1702.949,1721.426,14.814,0.8606,12690505.0,15365011.401
000016.SH,20120411,1734.594,1721.187,1748.298,1718.08,1736.24,-1.646,-0.0948,15347021.0,16107172.341
000016.SH,20120412,1770.947,1736.675,1771.924,1731.766,1734.594,36.353,2.0958,21751090.0,22432327.014
000016.SH,20120413,1777.068,1771.304,1785.453,1769.57,1770.947,6.121,0.3456,17631608.0,20977844.26
000016.SH,20120416,1770.679,1767.667,1778.516,1764.811,1777.068,-6.389,-0.3595,12758892.0,13403388.812
