trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma13,ma_v_13,ma21,ma_v_21,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
20120104,000056.SZ,5.7809,5.9259,5.7312,5.8431,5.7933,0.0497999999999994,0.8596,4709.45,6663.1469,0.395,1.48,,,,,,,,,,,,,,
20120105,000056.SZ,5.7187,5.8804,5.5986,5.669,5.8431,-0.17410000000000014,-2.9796,4926.2,6817.6317,0.4132,1.38,,,,,,,,,,,,,,
20120106,000056.SZ,5.669,5.6897,5.4908,5.669,5.669,0.0,0.0,3119.25,4197.006,0.2617,0.77,,,,,,,,,,,,,,
20120109,000056.SZ,5.7477,5.9052,5.5654,5.8886,5.669,0.21960000000000068,3.8737,6468.45,9021.9715,0.5426,1.54,,,,,,,,,,,,,,
20120110,000056.SZ,5.8348,6.1746,5.8348,6.1331,5.8886,0.2444999999999995,4.1521,9851.39,14359.1821,0.8264,1.93,5.8406,5814.948,,,,,,,,,,,,
20120111,000056.SZ,6.0544,6.3279,6.0503,6.3113,6.1331,0.17820000000000036,2.9055,11910.61,17852.3629,0.9991,2.05,5.9342,7255.18,,,,,,,,,,,,
20120112,000056.SZ,6.3155,6.5061,6.2077,6.2865,6.3113,-0.024799999999999933,-0.3929,7353.61,11273.3145,0.6168,1.01,6.0577,7740.662,,,,,,,,,,,,
20120113,000056.SZ,6.216,6.2865,5.9176,5.9632,6.2865,-0.3233000000000006,-5.1428,7320.85,10698.8547,0.6141,0.95,6.1165,8580.982,,,,,,,,,,,,
20120116,000056.SZ,5.8845,5.9674,5.7063,5.7146,5.9632,-0.2485999999999997,-4.1689,4306.77,6061.034,0.3613,0.5,6.0817,8148.646,,,,,,,,,,,,
20120117,000056.SZ,5.6814,6.0958,5.669,6.0917,5.7146,0.37710000000000043,6.5989,9786.48,13885.7152,0.8209,1.2,6.0735,8135.664,5.957,6975.306,,,,,,,,,,
20120118,000056.SZ,6.0917,6.1621,5.8845,5.8928,6.0917,-0.19890000000000008,-3.2651,6061.47,8840.2528,0.5085,0.75,5.9898,6965.836,5.962,7110.508,,,,,,,,,,
20120119,000056.SZ,5.8389,5.9218,5.7187,5.785,5.8928,-0.10780000000000012,-1.8294,6210.8,8692.81,0.521,0.89,5.8895,6737.274,5.9736,7238.968,,,,,,,,,,
20120120,000056.SZ,5.7809,5.9135,5.7146,5.9052,5.785,0.12019999999999964,2.0778,5071.63,7106.8917,0.4254,0.75,5.8779,6287.43,5.9972,7434.206,5.9349,6699.7662,,,,,,,,
20120130,000056.SZ,5.8845,5.9549,5.8431,5.8431,5.9052,-0.062100000000000044,-1.0516,3210.33,4571.5662,0.2693,0.51,5.9036,6068.142,5.9926,7108.394,5.9349,6584.4492,,,,,,,,
20120131,000056.SZ,5.8016,5.8721,5.7519,5.8431,5.8431,0.0,0.0,2258.14,3167.69,0.1894,0.37,5.8538,4562.474,5.9636,6349.069,5.9482,6379.2138,,,,,,,,
20120201,000056.SZ,5.8016,5.8804,5.7602,5.7892,5.8431,-0.053899999999999615,-0.9225,2706.09,3801.6048,0.227,0.59,5.8331,3891.398,5.9114,5428.617,5.9575,6347.4323,,,,,,,,
20120202,000056.SZ,5.785,5.8804,5.7312,5.8762,5.7892,0.08699999999999974,1.5028,2606.93,3665.9256,0.2187,0.67,5.8514,3170.624,5.8704,4953.949,5.9565,6050.3923,,,,,,,,
20120203,000056.SZ,5.9259,6.1663,5.9135,6.0295,5.8762,0.15329999999999977,2.6088,9141.34,13346.1455,0.7668,2.88,5.8762,3984.566,5.877,5135.998,5.9486,5995.7731,,,,,,,,
20120206,000056.SZ,5.9674,6.0585,5.9259,6.0503,6.0295,0.020800000000000374,0.345,4836.56,7007.8381,0.4057,1.21,5.9177,4309.812,5.9106,5188.977,5.9285,5451.6154,,,,,,,,
20120207,000056.SZ,6.042,6.042,5.8638,5.8845,6.0503,-0.16579999999999995,-2.7404,4422.2,6318.5868,0.3709,1.03,5.9259,4742.624,5.8899,4652.549,5.8976,5226.1223,,,,,,,,
20120208,000056.SZ,5.8804,6.0005,5.8472,5.9964,5.8845,0.11190000000000033,1.9016,4941.48,7098.441,0.4145,1.04,5.9674,5189.702,5.9002,4540.55,5.9001,5043.0938,5.9269,5772.3824,,,,,,
20120209,000056.SZ,5.9964,6.158,5.9674,6.1083,5.9964,0.11189999999999944,1.8661,10188.4,15017.0437,0.8546,1.96,6.0138,6705.996,5.9326,4938.31,5.9304,5495.5269,5.9396,6033.2848,,,,,,
20120210,000056.SZ,6.1663,6.3072,6.0088,6.3072,6.1083,0.19890000000000008,3.2562,17295.29,25819.1855,1.4508,2.58,6.0693,8336.786,5.9728,6160.676,5.947,6073.1277,5.9699,6622.289,,,,,,
20120213,000056.SZ,6.2657,6.2699,6.1331,6.245,6.3072,-0.06219999999999981,-0.9862,12100.12,18092.9288,1.015,1.45,6.1083,9789.498,6.013,7049.655,5.9741,6537.6392,5.9974,7049.9495,,,,,,
20120215,000056.SZ,6.1704,6.6097,6.0005,6.5475,6.245,0.3025000000000002,4.8439,21986.24,32926.3706,1.8443,2.25,6.2409,13302.306,6.0834,9022.465,6.0327,7751.1346,6.0287,7788.8919,,,,,,
20120216,000056.SZ,6.4274,6.531,6.2989,6.3403,6.5475,-0.20720000000000027,-3.1646,15209.81,23447.7152,1.2759,1.14,6.3097,15355.972,6.1385,10272.837,6.0662,8530.9946,6.0386,8044.0548,,,,,,
20120217,000056.SZ,6.3362,6.3403,6.1663,6.2533,6.3403,-0.08699999999999974,-1.3722,9701.4,14602.6703,0.8138,0.63,6.3387,15258.572,6.1762,10982.284,6.0978,9030.3077,6.0359,7938.8543,,,,,,
20120220,000056.SZ,6.2865,6.332,6.1953,6.216,6.2533,-0.03730000000000011,-0.5965,14897.1,22457.8051,1.2496,0.98,6.3204,14778.934,6.1949,11557.86,6.1264,10002.5354,6.0325,8298.0681,,,,,,
20120221,000056.SZ,6.2202,6.2492,6.0958,6.2077,6.216,-0.008300000000000196,-0.1335,9779.4,14559.3822,0.8203,0.66,6.313,14314.79,6.2106,12052.144,6.1586,10546.6362,6.0441,8415.1419,,,,,,
20120222,000056.SZ,6.2119,6.4647,6.187,6.2989,6.2077,0.09119999999999973,1.4691,31879.91,48637.3409,2.6742,2.23,6.2632,16293.524,6.2521,14797.915,6.1911,12798.4038,6.072,9728.1486,6.033,8808.59,,,,
20120223,000056.SZ,6.2782,6.3113,6.1994,6.2616,6.2989,-0.03730000000000011,-0.5922,18843.58,28428.5842,1.5807,1.16,6.2475,17020.278,6.2786,16188.125,6.209,13544.73,6.0801,10159.439,6.0469,9279.7277,,,,
20120224,000056.SZ,6.2575,6.6263,6.245,6.4978,6.2616,0.2362000000000002,3.7722,52320.7,81398.9771,4.3888,3.07,6.2964,25544.138,6.3175,20401.355,6.2434,17197.3562,6.1089,12362.2595,6.0746,10859.5443,,,,
20120227,000056.SZ,6.4605,6.6677,6.3403,6.4605,6.4978,-0.03730000000000011,-0.574,55197.91,86225.4346,4.6302,2.16,6.3453,33604.3,6.3329,24191.617,6.2877,21103.18,6.141,14694.979,6.1009,12595.4997,,,,
20120228,000056.SZ,6.4232,7.0655,6.3859,6.8791,6.4605,0.4186000000000005,6.4794,73598.22,119333.7229,6.1737,2.19,6.4796,46368.064,6.3963,30341.427,6.3556,26384.4677,6.1874,17958.15,6.134,14833.1587,,,,
20120229,000056.SZ,6.8169,7.4468,6.7755,7.0614,6.8791,0.18229999999999968,2.6501,67418.36,116486.9708,5.6553,1.45,6.6321,53475.754,6.4477,34884.639,6.4289,30786.7723,6.2454,21015.6752,6.1649,16752.0577,,,,
20120301,000056.SZ,7.0365,7.2893,6.8418,7.0365,7.0614,-0.0248999999999997,-0.3526,28093.94,48089.2486,2.3566,0.53,6.7871,55325.826,6.5173,36173.052,6.485,31617.4377,6.3022,22245.9514,6.1891,17291.502,,,,
