ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399102.SZ,20120104,702.486,730.596,734.41,702.486,725.78,-23.294,-3.2095,3199979.22,6255422.7257
399102.SZ,20120105,662.931,695.962,695.962,661.605,702.486,-39.555,-5.6307,4016076.83,7183916.6425
399102.SZ,20120106,664.482,658.254,667.035,642.642,662.931,1.551,0.234,3237513.7,5678513.5375
399102.SZ,20120109,689.259,663.39,689.259,653.601,664.482,24.777,3.7288,4139809.4,7281459.658
399102.SZ,20120110,714.16,688.452,715.621,687.133,689.259,24.901,3.6127,5745642.7,10204141.0068
399102.SZ,20120111,715.601,712.702,726.071,708.232,714.16,1.441,0.2018,4991163.52,9200832.2334
399102.SZ,20120112,706.787,713.609,720.807,706.016,715.601,-8.814,-1.2317,3943702.36,7527130.541
399102.SZ,20120113,663.904,705.826,706.172,663.089,706.787,-42.883,-6.0673,4993608.12,9195455.6411
399102.SZ,20120116,631.074,654.89,654.89,631.024,663.904,-32.83,-4.945,3313455.96,5707095.1521
399102.SZ,20120117,661.446,628.251,662.561,621.047,631.074,30.372,4.8127,4536489.72,7714785.3153
399102.SZ,20120118,623.691,661.31,664.252,620.9,661.446,-37.755,-5.7079,4788498.47,8235362.2461
399102.SZ,20120119,632.788,620.335,635.956,613.304,623.691,9.097,1.4586,4378062.45,7181059.2003
399102.SZ,20120120,644.682,634.322,646.388,634.322,632.788,11.894,1.8796,3794610.99,6148722.1315
399102.SZ,20120130,649.831,647.016,658.897,642.997,644.682,5.149,0.7987,3696327.06,6254369.0645
399102.SZ,20120131,646.698,648.187,648.576,636.155,649.831,-3.133,-0.4821,3122930.2,5195523.8846
399102.SZ,20120201,648.195,645.731,660.471,643.055,646.698,1.497,0.2315,3643957.12,6381268.218
399102.SZ,20120202,662.208,649.403,662.208,649.403,648.195,14.013,2.1618,3948430.86,6593329.9347
399102.SZ,20120203,677.718,662.261,679.233,660.371,662.208,15.51,2.3422,5084726.28,8515800.1607
399102.SZ,20120206,684.297,678.603,687.411,677.774,677.718,6.579,0.9708,4913461.72,8371000.98
399102.SZ,20120207,671.533,681.839,681.839,667.234,684.297,-12.764,-1.8653,4022295.93,6922642.3615
399102.SZ,20120208,689.799,670.728,689.799,667.993,671.533,18.266,2.72,4690440.73,7866153.8403
399102.SZ,20120209,695.497,689.629,703.558,688.065,689.799,5.698,0.826,5973568.73,10602221.4664
399102.SZ,20120210,696.805,694.485,700.621,691.351,695.497,1.308,0.1881,4682200.67,8154155.2386
399102.SZ,20120213,712.031,692.74,716.032,689.064,696.805,15.226,2.1851,5579600.62,10169381.7712
399102.SZ,20120214,709.658,712.012,714.391,705.3,712.031,-2.373,-0.3333,4136396.72,7509932.6482
399102.SZ,20120215,722.351,709.1,722.351,705.237,709.658,12.693,1.7886,5543245.56,9792724.8257
399102.SZ,20120216,719.772,721.311,728.619,712.585,722.351,-2.579,-0.357,6034967.81,10910654.5544
399102.SZ,20120217,715.352,720.428,724.373,707.432,719.772,-4.42,-0.6141,4661936.98,8426792.8404
399102.SZ,20120220,719.076,723.836,728.813,718.978,715.352,3.724,0.5206,5648109.24,10548619.8585
399102.SZ,20120221,734.643,717.996,734.643,712.396,719.076,15.567,2.1649,6682663.84,12894849.8121
399102.SZ,20120222,757.536,735.39,757.567,735.39,734.643,22.893,3.1162,8969181.26,17076253.6391
399102.SZ,20120223,758.575,759.013,764.686,749.717,757.536,1.039,0.1372,8406383.04,16461539.8095
399102.SZ,20120224,764.679,757.876,766.226,757.312,758.575,6.104,0.8047,7390735.82,14471959.7704
399102.SZ,20120227,763.522,766.473,774.168,762.595,764.679,-1.157,-0.1513,8006043.99,15972548.68
399102.SZ,20120228,752.606,760.509,761.879,743.083,763.522,-10.916,-1.4297,7978856.09,15831913.2798
399102.SZ,20120229,739.019,751.394,751.949,738.253,752.606,-13.587,-1.8053,5904584.73,11878243.2422
399102.SZ,20120301,745.973,737.903,751.358,737.327,739.019,6.954,0.941,5005155.11,9873184.8001
399102.SZ,20120302,760.62,746.702,760.622,746.702,745.973,14.647,1.9635,5487446.85,10541741.0055
399102.SZ,20120305,762.439,762.561,768.408,761.896,760.62,1.819,0.2391,6271369.68,12583515.1746
399102.SZ,20120306,754.173,761.087,761.122,746.63,762.439,-8.266,-1.0842,6023767.2,12092241.5506
399102.SZ,20120307,753.4,747.085,763.359,744.253,754.173,-0.773,-0.1025,5943515.21,11618574.4386
399102.SZ,20120308,764.57,755.421,766.829,755.421,753.4,11.17,1.4826,5558078.48,10954819.6918
399102.SZ,20120309,780.923,767.268,780.923,767.268,764.57,16.353,2.1388,6901048.5,13933155.2963
399102.SZ,20120312,788.356,782.837,788.356,781.006,780.923,7.433,0.9518,6946632.63,14504783.2288
399102.SZ,20120313,795.671,788.657,795.671,785.65,788.356,7.315,0.9279,7151396.26,14471235.8388
399102.SZ,20120314,760.009,798.851,805.735,754.13,795.671,-35.662,-4.482,10995380.92,22280604.6933
399102.SZ,20120315,752.272,759.147,763.691,740.758,760.009,-7.737,-1.018,7483183.42,15366281.9401
399102.SZ,20120316,770.455,752.858,770.465,750.7,752.272,18.183,2.4171,6549302.56,13206207.2662
399102.SZ,20120319,783.331,770.121,783.331,768.236,770.455,12.876,1.6712,6515828.08,13428958.4112
399102.SZ,20120320,757.824,781.412,781.412,757.754,783.331,-25.507,-3.2562,6107046.88,12632653.0517
399102.SZ,20120321,754.243,760.647,763.468,740.056,757.824,-3.581,-0.4725,6039931.34,12464781.6749
399102.SZ,20120322,753.713,752.873,759.3,748.435,754.243,-0.53,-0.0703,4550955.88,9307823.1595
399102.SZ,20120323,739.713,751.599,752.574,736.615,753.713,-14.0,-1.8575,4480951.17,8913025.24
399102.SZ,20120326,738.755,737.667,743.207,733.366,739.713,-0.958,-0.1295,3642017.54,7504211.0019
399102.SZ,20120327,737.65,740.865,747.206,736.529,738.755,-1.105,-0.1496,4024034.53,8327455.4066
399102.SZ,20120328,699.905,735.019,735.019,699.095,737.65,-37.745,-5.1169,5442515.25,10343210.2553
399102.SZ,20120329,683.663,693.098,696.007,677.492,699.905,-16.242,-2.3206,4575497.34,8796279.674
399102.SZ,20120330,678.068,682.47,686.707,672.973,683.663,-5.595,-0.8184,4235670.95,7524522.7232
399102.SZ,20120405,697.449,677.579,697.85,676.26,678.068,19.381,2.8583,4398591.93,8139042.9434
399102.SZ,20120406,701.798,697.439,704.62,695.584,697.449,4.349,0.6236,4392632.36,8123333.3146
399102.SZ,20120409,691.69,700.378,702.923,691.69,701.798,-10.108,-1.4403,3567381.13,6617421.5439
399102.SZ,20120410,699.295,688.851,699.295,675.225,691.69,7.605,1.0995,4428713.2,8335929.3509
399102.SZ,20120411,700.614,692.637,703.482,688.339,699.295,1.319,0.1886,3932710.98,7289342.4641
399102.SZ,20120412,714.998,701.522,715.06,699.791,700.614,14.384,2.0531,4848404.19,8742504.0459
399102.SZ,20120413,719.792,716.401,723.988,715.362,714.998,4.794,0.6705,5012434.32,9048128.5907
399102.SZ,20120416,716.654,715.735,719.765,712.24,719.792,-3.138,-0.436,3810806.03,7020923.7632
399102.SZ,20120417,710.593,716.772,718.635,710.083,716.654,-6.061,-0.8457,3916592.01,7205047.0807
399102.SZ,20120418,725.658,711.713,725.802,711.692,710.593,15.065,2.1201,4872801.14,8658680.8637
399102.SZ,20120419,727.621,725.71,730.319,723.964,725.658,1.963,0.2705,4816491.56,8671575.831
399102.SZ,20120420,732.797,726.741,732.797,724.76,727.621,5.176,0.7114,4664623.22,8563810.6557
399102.SZ,20120423,694.405,729.727,729.727,692.608,732.797,-38.392,-5.2391,7329877.98,12184521.4154
399102.SZ,20120424,683.716,685.123,693.28,666.551,694.405,-10.689,-1.5393,5847302.81,9768644.2857
399102.SZ,20120425,685.536,682.04,687.31,677.725,683.716,1.82,0.2662,4409875.35,7488756.4976
399102.SZ,20120426,681.989,686.216,688.41,677.888,685.536,-3.547,-0.5174,3854188.33,6393999.8691
399102.SZ,20120427,688.822,681.47,692.923,680.329,681.989,6.833,1.0019,4055113.92,6645783.772
399102.SZ,20120502,697.321,695.278,699.553,690.13,688.822,8.499,1.2338,4355691.11,7297612.5616
399102.SZ,20120503,702.886,696.889,702.886,694.3,697.321,5.565,0.7981,4122606.9,7163295.5233
399102.SZ,20120504,717.447,703.493,717.759,703.493,702.886,14.561,2.0716,5389720.8,9559414.3633
399102.SZ,20120507,735.248,715.576,735.249,714.469,717.447,17.801,2.4812,6120061.1,11365815.1604
399102.SZ,20120508,736.038,736.114,741.367,732.878,735.248,0.79,0.1074,6619395.36,12256109.5518
399102.SZ,20120509,723.919,732.258,732.258,723.097,736.038,-12.119,-1.6465,5805832.18,10722110.685
399102.SZ,20120510,731.977,722.707,735.089,722.707,723.919,8.058,1.1131,5157954.04,9364610.2803
399102.SZ,20120511,725.69,731.481,734.551,725.69,731.977,-6.287,-0.8589,6002106.59,10597363.9909
399102.SZ,20120514,723.999,729.503,733.303,722.268,725.69,-1.691,-0.233,6024591.21,10781065.736
399102.SZ,20120515,723.413,718.82,723.413,713.581,723.999,-0.586,-0.0809,5181662.68,8551771.2256
399102.SZ,20120516,713.862,722.056,724.885,713.862,723.413,-9.551,-1.3203,4539304.53,7995872.1178
399102.SZ,20120517,721.045,713.859,722.74,709.179,713.862,7.183,1.0062,4652232.7,7831743.4125
399102.SZ,20120518,711.711,717.204,721.38,710.186,721.045,-9.334,-1.2945,5671257.74,9506851.0909
399102.SZ,20120521,709.57,711.094,714.147,703.784,711.711,-2.141,-0.3008,4603324.19,7718877.3763
399102.SZ,20120522,719.479,711.686,719.479,711.686,709.57,9.909,1.3965,4144233.78,7065822.3716
399102.SZ,20120523,716.025,719.668,720.714,708.839,719.479,-3.454,-0.4801,5134553.18,8355796.6395
399102.SZ,20120524,714.275,714.868,719.504,711.945,716.025,-1.75,-0.2444,5074632.1,7938728.2816
399102.SZ,20120525,701.393,714.468,715.707,699.565,714.275,-12.882,-1.8035,4753242.48,7405138.3339
399102.SZ,20120528,704.946,698.39,705.178,685.131,701.393,3.553,0.5066,4642532.49,6957912.7291
399102.SZ,20120529,717.836,704.535,718.926,703.463,704.946,12.89,1.8285,5517465.7,8614719.4308
399102.SZ,20120530,724.132,718.106,727.425,717.016,717.836,6.296,0.8771,6051260.06,9449503.5848
399102.SZ,20120531,732.013,721.625,737.192,719.015,724.132,7.881,1.0883,6704539.98,10470688.2392
399102.SZ,20120601,731.731,731.444,737.161,727.643,732.013,-0.282,-0.0385,6364929.5,10281749.371
399102.SZ,20120604,711.548,719.661,728.039,711.548,731.731,-20.183,-2.7583,6180151.44,9890638.8691
399102.SZ,20120605,710.029,712.04,715.534,708.28,711.548,-1.519,-0.2135,4196363.79,6980780.9863
399102.SZ,20120606,709.41,711.108,716.347,705.656,710.029,-0.619,-0.0872,3899402.77,6135925.7404
399102.SZ,20120607,706.493,714.972,718.47,704.402,709.41,-2.917,-0.4112,4404545.07,7129426.022
399102.SZ,20120608,707.89,710.803,714.607,705.072,706.493,1.397,0.1977,5113299.23,8438783.6
399102.SZ,20120611,728.36,708.191,728.36,708.191,707.89,20.47,2.8917,6469825.23,10564123.1532
399102.SZ,20120612,728.161,726.09,732.206,724.642,728.36,-0.199,-0.0273,6473938.16,10540730.224
399102.SZ,20120613,740.961,729.165,740.961,729.165,728.161,12.8,1.7579,7171411.37,11393901.6935
399102.SZ,20120614,736.377,740.189,744.519,735.411,740.961,-4.584,-0.6187,7100317.62,11173150.8928
399102.SZ,20120615,739.552,738.162,743.407,730.453,736.377,3.175,0.4312,6901456.14,10690936.6813
399102.SZ,20120618,752.052,741.52,752.161,741.52,739.552,12.5,1.6902,7963397.34,12661071.6903
399102.SZ,20120619,749.604,750.903,753.379,747.609,752.052,-2.448,-0.3255,8450025.86,13676340.5086
399102.SZ,20120620,753.878,749.81,756.525,749.805,749.604,4.274,0.5702,8516857.41,13382776.2132
399102.SZ,20120621,742.839,751.827,751.84,737.247,753.878,-11.039,-1.4643,7793460.98,12077737.4501
399102.SZ,20120625,723.855,739.929,739.985,723.693,742.839,-18.984,-2.5556,6650404.53,10246995.4997
399102.SZ,20120626,721.197,719.618,724.473,707.933,723.855,-2.658,-0.3672,6050190.79,9346811.4113
399102.SZ,20120627,726.185,720.854,735.631,720.661,721.197,4.988,0.6916,6893909.36,11153943.6918
399102.SZ,20120628,717.562,726.051,730.36,717.562,726.185,-8.623,-1.1874,7400715.45,11543258.3247
399102.SZ,20120629,730.916,714.373,730.916,710.886,717.562,13.354,1.861,7104600.68,10943670.6165
399102.SZ,20120702,745.392,734.661,748.524,734.661,730.916,14.476,1.9805,7743385.0,12662425.0275
399102.SZ,20120703,751.503,746.034,756.343,744.698,745.392,6.111,0.8198,9347557.31,15016559.2763
399102.SZ,20120704,746.232,751.828,755.244,743.776,751.503,-5.271,-0.7014,7965050.74,12651427.2942
399102.SZ,20120705,732.057,744.866,744.866,729.215,746.232,-14.175,-1.8995,7451569.36,12658471.046
399102.SZ,20120706,742.679,734.338,742.98,718.917,732.057,10.622,1.451,8229852.04,13946959.4548
