index,ts_code,symbol,name,area,industry,fullname,market,exchange,list_date,is_hs
0,000001.SZ,1,平安银行,深圳,银行,平安银行股份有限公司,主板,SZSE,19910403,S
1,000002.SZ,2,万科A,深圳,全国地产,万科企业股份有限公司,主板,SZSE,19910129,S
2,000004.SZ,4,国农科技,深圳,生物制药,深圳中国农大科技股份有限公司,主板,SZSE,19910114,N
3,000005.SZ,5,世纪星源,深圳,环境保护,深圳世纪星源股份有限公司,主板,SZSE,19901210,N
4,000006.SZ,6,深振业A,深圳,区域地产,深圳市振业(集团)股份有限公司,主板,SZSE,19920427,S
5,000007.SZ,7,全新好,深圳,酒店餐饮,深圳市全新好股份有限公司,主板,SZSE,19920413,N
6,000008.SZ,8,神州高铁,北京,运输设备,神州高铁技术股份有限公司,主板,SZSE,19920507,S
7,000009.SZ,9,中国宝安,深圳,综合类,中国宝安集团股份有限公司,主板,SZSE,19910625,S
8,000010.SZ,10,*ST美丽,深圳,建筑工程,深圳美丽生态股份有限公司,主板,SZSE,19951027,N
9,000011.SZ,11,深物业A,深圳,区域地产,深圳市物业发展(集团)股份有限公司,主板,SZSE,19920330,N
10,000012.SZ,12,南玻A,深圳,玻璃,中国南玻集团股份有限公司,主板,SZSE,19920228,S
11,000014.SZ,14,沙河股份,深圳,全国地产,沙河实业股份有限公司,主板,SZSE,19920602,N
12,000016.SZ,16,深康佳A,深圳,家用电器,康佳集团股份有限公司,主板,SZSE,19920327,S
13,000017.SZ,17,深中华A,深圳,文教休闲,深圳中华自行车(集团)股份有限公司,主板,SZSE,19920331,N
14,000019.SZ,19,深粮控股,深圳,其他商业,深圳市深粮控股股份有限公司,主板,SZSE,19921012,S
15,000020.SZ,20,深华发A,深圳,元器件,深圳中恒华发股份有限公司,主板,SZSE,19920428,N
16,000021.SZ,21,深科技,深圳,IT设备,深圳长城开发科技股份有限公司,主板,SZSE,19940202,S
17,000023.SZ,23,深天地A,深圳,其他建材,深圳市天地(集团)股份有限公司,主板,SZSE,19930429,N
18,000025.SZ,25,特力A,深圳,汽车服务,深圳市特力(集团)股份有限公司,主板,SZSE,19930621,S
19,000026.SZ,26,飞亚达,深圳,其他商业,飞亚达精密科技股份有限公司,主板,SZSE,19930603,N
20,000027.SZ,27,深圳能源,深圳,火力发电,深圳能源集团股份有限公司,主板,SZSE,19930903,S
21,000028.SZ,28,国药一致,深圳,医药商业,国药集团一致药业股份有限公司,主板,SZSE,19930809,S
22,000029.SZ,29,深深房A,深圳,区域地产,深圳经济特区房地产(集团)股份有限公司,主板,SZSE,19930915,S
23,000030.SZ,30,富奥股份,吉林,汽车配件,富奥汽车零部件股份有限公司,主板,SZSE,19930929,N
24,000031.SZ,31,大悦城,深圳,全国地产,大悦城控股集团股份有限公司,主板,SZSE,19931008,S
25,000032.SZ,32,深桑达A,深圳,元器件,深圳市桑达实业股份有限公司,主板,SZSE,19931028,N
26,000034.SZ,34,神州数码,深圳,综合类,神州数码集团股份有限公司,主板,SZSE,19940509,S
27,000035.SZ,35,中国天楹,江苏,环境保护,中国天楹股份有限公司,主板,SZSE,19940408,S
28,000036.SZ,36,华联控股,深圳,全国地产,华联控股股份有限公司,主板,SZSE,19940617,S
29,000037.SZ,37,深南电A,深圳,火力发电,深圳南山热电股份有限公司,主板,SZSE,19940701,N
30,000038.SZ,38,深大通,深圳,广告包装,深圳大通实业股份有限公司,主板,SZSE,19940808,N
31,000039.SZ,39,中集集团,深圳,轻工机械,中国国际海运集装箱(集团)股份有限公司,主板,SZSE,19940408,S
32,000040.SZ,40,东旭蓝天,深圳,新型电力,东旭蓝天新能源股份有限公司,主板,SZSE,19940808,S
33,000042.SZ,42,中洲控股,深圳,全国地产,深圳市中洲投资控股股份有限公司,主板,SZSE,19940921,N
34,000045.SZ,45,深纺织A,深圳,元器件,深圳市纺织(集团)股份有限公司,主板,SZSE,19940815,N
35,000046.SZ,46,泛海控股,北京,多元金融,泛海控股股份有限公司,主板,SZSE,19940912,S
36,000048.SZ,48,康达尔,深圳,饲料,深圳市康达尔(集团)股份有限公司,主板,SZSE,19941101,N
37,000049.SZ,49,德赛电池,深圳,电气设备,深圳市德赛电池科技股份有限公司,主板,SZSE,19950320,S
38,000050.SZ,50,深天马A,深圳,元器件,天马微电子股份有限公司,主板,SZSE,19950315,S
39,000055.SZ,55,方大集团,深圳,其他建材,方大集团股份有限公司,主板,SZSE,19960415,N
40,000056.SZ,56,皇庭国际,深圳,房产服务,深圳市皇庭国际企业股份有限公司,主板,SZSE,19960708,N
41,000058.SZ,58,深赛格,深圳,元器件,深圳赛格股份有限公司,主板,SZSE,19961226,N
42,000059.SZ,59,华锦股份,辽宁,石油加工,北方华锦化学工业股份有限公司,主板,SZSE,19970130,S
43,000060.SZ,60,中金岭南,深圳,铅锌,深圳市中金岭南有色金属股份有限公司,主板,SZSE,19970123,S
44,000061.SZ,61,农产品,深圳,农业综合,深圳市农产品集团股份有限公司,主板,SZSE,19970110,S
