ts_code,open,trade_date,ts_date_id,label_final
000001.SZ,5.5256,20120210,100000022,0
000001.SZ,5.5223,20120213,100000023,0
000001.SZ,5.4762,20120214,100000024,0
000001.SZ,5.4565,20120215,100000025,0
000001.SZ,5.4664,20120216,100000026,0
000001.SZ,5.4401,20120217,100000027,0
000001.SZ,5.5058,20120220,100000028,0
000001.SZ,5.4203,20120221,100000029,0
000001.SZ,5.4236,20120222,100000030,0
000001.SZ,5.4664,20120223,100000031,0
000001.SZ,5.4894,20120224,100000032,0
000001.SZ,5.5585,20120227,100000033,0
000001.SZ,5.5683,20120228,100000034,0
000001.SZ,5.6802,20120229,100000035,0
000001.SZ,5.6177,20120301,100000036,0
000001.SZ,5.667,20120302,100000037,0
000001.SZ,5.7657,20120305,100000038,0
000001.SZ,5.6604,20120306,100000039,0
000001.SZ,5.5256,20120307,100000040,0
000001.SZ,5.565,20120308,100000041,0
000001.SZ,5.5585,20120309,100000042,0
000001.SZ,5.5519,20120312,100000043,0
000001.SZ,5.5091,20120313,100000044,0
000001.SZ,5.565,20120314,100000045,0
000001.SZ,5.4236,20120315,100000046,0
000001.SZ,5.3513,20120316,100000047,0
000001.SZ,5.3743,20120319,100000048,0
000001.SZ,5.3677,20120320,100000049,0
000001.SZ,5.3282,20120321,100000050,0
000001.SZ,5.2986,20120322,100000051,0
000001.SZ,5.2986,20120323,100000052,0
000001.SZ,5.269,20120326,100000053,0
000001.SZ,5.2986,20120327,100000054,0
000001.SZ,5.2822,20120328,100000055,0
000001.SZ,5.1901,20120329,100000056,0
000001.SZ,5.1408,20120330,100000057,0
000001.SZ,5.1671,20120405,100000058,0
000001.SZ,5.1638,20120406,100000059,0
000001.SZ,5.2296,20120409,100000060,0
000001.SZ,5.1704,20120410,100000061,0
000001.SZ,5.1572,20120411,100000062,0
000001.SZ,5.2098,20120412,100000063,0
000001.SZ,5.3776,20120413,100000064,0
000001.SZ,5.3249,20120416,100000065,0
000001.SZ,5.3085,20120417,100000066,0
000001.SZ,5.269,20120418,100000067,0
000001.SZ,5.3611,20120419,100000068,0
000001.SZ,5.3611,20120420,100000069,0
000002.SZ,5.7063,20120104,100010000,0
000002.SZ,5.5841,20120105,100010001,0
000002.SZ,5.5536,20120106,100010002,0
000002.SZ,5.4695,20120109,100010003,1
000002.SZ,5.6147,20120110,100010004,0
000002.SZ,5.7293,20120111,100010005,0
000002.SZ,5.6681,20120112,100010006,0
000002.SZ,5.7369,20120113,100010007,0
000002.SZ,5.6529,20120116,100010008,0
000002.SZ,5.6147,20120117,100010009,0
000002.SZ,5.7751,20120118,100010010,0
000002.SZ,5.7674,20120119,100010011,0
000002.SZ,5.9584,20120120,100010012,0
000002.SZ,5.9966,20120130,100010013,0
000002.SZ,5.7674,20120131,100010014,1
000002.SZ,5.8133,20120201,100010015,1
000002.SZ,5.798,20120202,100010016,1
000002.SZ,5.8515,20120203,100010017,1
000002.SZ,5.9355,20120206,100010018,1
000002.SZ,5.8056,20120207,100010019,1
000002.SZ,5.6681,20120208,100010020,1
000002.SZ,5.8056,20120209,100010021,1
000002.SZ,5.8973,20120210,100010022,1
000002.SZ,5.7751,20120213,100010023,1
000002.SZ,5.8438,20120214,100010024,1
000002.SZ,5.8438,20120215,100010025,1
000002.SZ,5.9431,20120216,100010026,1
000002.SZ,5.9966,20120217,100010027,1
000002.SZ,6.0501,20120220,100010028,0
000002.SZ,5.989,20120221,100010029,1
000002.SZ,6.0959,20120222,100010030,0
000002.SZ,6.264,20120223,100010031,0
000002.SZ,6.2563,20120224,100010032,0
000002.SZ,6.4932,20120227,100010033,0
000002.SZ,6.5695,20120228,100010034,0
000002.SZ,6.4168,20120229,100010035,0
000002.SZ,6.2945,20120301,100010036,0
000002.SZ,6.3404,20120302,100010037,0
000002.SZ,6.6536,20120305,100010038,0
000002.SZ,6.5008,20120306,100010039,0
000002.SZ,6.4168,20120307,100010040,0
000002.SZ,6.4397,20120308,100010041,0
000002.SZ,6.6077,20120309,100010042,0
000002.SZ,6.5161,20120312,100010043,0
000002.SZ,6.4397,20120313,100010044,0
000002.SZ,6.5543,20120314,100010045,0
000002.SZ,6.3327,20120315,100010046,0
000002.SZ,6.2869,20120316,100010047,0
000002.SZ,6.2793,20120319,100010048,0
000002.SZ,6.2563,20120320,100010049,0
000002.SZ,6.2793,20120321,100010050,0
000002.SZ,6.264,20120322,100010051,0
000002.SZ,6.2716,20120323,100010052,0
000002.SZ,6.1876,20120326,100010053,0
000002.SZ,6.1265,20120327,100010054,1
000002.SZ,6.1188,20120328,100010055,1
000002.SZ,6.1112,20120329,100010056,1
000002.SZ,6.2487,20120330,100010057,1
000002.SZ,6.2793,20120405,100010058,1
000002.SZ,6.4015,20120406,100010059,0
000002.SZ,6.3557,20120409,100010060,0
000002.SZ,6.2945,20120410,100010061,1
000004.SZ,8.17,20120104,100020000,0
000004.SZ,7.85,20120105,100020001,0
000004.SZ,7.46,20120106,100020002,1
000004.SZ,7.4,20120109,100020003,1
000004.SZ,7.75,20120110,100020004,1
000004.SZ,8.17,20120111,100020005,0
000004.SZ,8.05,20120112,100020006,1
000004.SZ,8.12,20120113,100020007,0
000004.SZ,7.85,20120116,100020008,1
000004.SZ,7.8,20120117,100020009,1
000004.SZ,8.06,20120118,100020010,1
000004.SZ,7.91,20120119,100020011,1
000004.SZ,8.09,20120120,100020012,1
000004.SZ,8.11,20120130,100020013,1
000004.SZ,8.1,20120131,100020014,1
000004.SZ,8.27,20120201,100020015,1
000004.SZ,8.2,20120202,100020016,1
000004.SZ,8.52,20120203,100020017,1
000004.SZ,8.75,20120206,100020018,1
000004.SZ,8.62,20120207,100020019,1
000004.SZ,8.35,20120208,100020020,1
000004.SZ,8.59,20120209,100020021,1
000004.SZ,8.56,20120210,100020022,1
000004.SZ,8.59,20120213,100020023,1
000004.SZ,8.77,20120214,100020024,1
000004.SZ,8.75,20120215,100020025,1
000004.SZ,8.91,20120216,100020026,1
000004.SZ,8.97,20120217,100020027,1
000004.SZ,8.98,20120220,100020028,1
000004.SZ,8.86,20120221,100020029,1
