file,U,D,date
limit_list_20160215.csv,68,0,20160215
limit_list_20160216.csv,191,0,20160216
limit_list_20160217.csv,97,2,20160217
limit_list_20160218.csv,73,4,20160218
limit_list_20160219.csv,44,0,20160219
limit_list_20160222.csv,90,2,20160222
limit_list_20160223.csv,61,2,20160223
limit_list_20160224.csv,69,5,20160224
limit_list_20160225.csv,17,1434,20160225
limit_list_20160226.csv,55,24,20160226
limit_list_20160229.csv,13,607,20160229
limit_list_20160301.csv,63,10,20160301
limit_list_20160302.csv,214,2,20160302
limit_list_20160303.csv,55,5,20160303
limit_list_20160304.csv,21,74,20160304
limit_list_20160307.csv,83,2,20160307
limit_list_20160308.csv,61,2,20160308
limit_list_20160309.csv,16,15,20160309
limit_list_20160310.csv,11,15,20160310
limit_list_20160311.csv,25,9,20160311
limit_list_20160314.csv,112,6,20160314
limit_list_20160315.csv,23,9,20160315
